packet_index;timestamp;length;direction;num_cells;ack
104;1488999856.1034911;609;1;1;0
105;1488999856.1112120;1514;1;2;0
106;1488999856.1130710;1514;1;2;0
107;1488999856.1131370;1514;1;2;0
108;1488999856.1135240;1514;-1;2;0
109;1488999856.1135581;1514;-1;2;0
110;1488999856.1135690;66;1;0;1
111;1488999856.1135590;1514;-1;2;0
112;1488999856.1205759;1514;-1;2;0
114;1488999856.1350031;1514;1;2;0
115;1488999856.1370010;1412;-1;2;0
116;1488999856.1469600;66;-1;0;1
117;1488999856.1469760;73;1;0;0
119;1488999856.1623459;1514;-1;2;0
120;1488999856.1629169;1514;-1;2;0
121;1488999856.1629310;66;1;0;1
122;1488999856.1825631;797;-1;1;0
123;1488999856.1825931;1152;1;2;0
124;1488999856.1875341;1514;1;2;0
125;1488999856.1977899;1514;-1;2;0
126;1488999856.1978309;1514;-1;2;0
127;1488999856.1978400;66;1;0;1
128;1488999856.1978321;1514;-1;2;0
129;1488999856.2115791;1514;-1;2;0
131;1488999856.2115841;1514;-1;2;0
132;1488999856.2181339;167;-1;0;0
133;1488999856.2181499;247;1;0;0
134;1488999856.2418201;1514;1;2;0
135;1488999856.2552531;66;-1;0;1
136;1488999856.2552669;790;1;1;0
138;1488999856.4485309;609;-1;1;0
139;1488999856.4485431;1514;-1;2;0
140;1488999856.4485741;66;1;0;1
141;1488999856.4485431;1514;-1;2;0
142;1488999856.4490769;1514;-1;2;0
144;1488999856.4491560;1514;-1;2;0
145;1488999856.4491570;1514;-1;2;0
147;1488999856.4491570;1514;-1;2;0
148;1488999856.4491570;1514;-1;2;0
150;1488999856.4509671;609;1;1;0
151;1488999856.4747939;1514;-1;2;0
152;1488999856.4748039;1514;-1;2;0
153;1488999856.4748280;66;1;0;1
154;1488999856.4748039;1514;-1;2;0
155;1488999856.4842520;1514;-1;2;0
157;1488999856.4842560;1514;-1;2;0
158;1488999856.4847929;1514;-1;2;0
160;1488999856.4848030;1514;-1;2;0
161;1488999856.4848030;1514;-1;2;0
163;1488999856.4848030;1514;-1;2;0
164;1488999856.4850681;405;-1;0;0
166;1488999856.4982181;1514;-1;2;0
167;1488999856.4987371;1514;-1;2;0
169;1488999856.5108891;1514;-1;2;0
170;1488999856.5109401;1514;-1;2;0
172;1488999856.5109410;1514;-1;2;0
173;1488999856.5109410;1514;-1;2;0
175;1488999856.5109410;1514;-1;2;0
176;1488999856.5109410;1514;-1;2;0
178;1488999856.5109820;1514;-1;2;0
179;1488999856.5112150;609;1;1;0
180;1488999856.5208600;87;-1;0;0
181;1488999856.5229499;1514;-1;2;0
182;1488999856.5229759;66;1;0;1
183;1488999856.5229831;1514;-1;2;0
184;1488999856.5348320;1514;-1;2;0
186;1488999856.5348320;1514;-1;2;0
187;1488999856.5348370;1514;-1;2;0
189;1488999856.5568810;1514;-1;2;0
190;1488999856.5569019;1514;-1;2;0
192;1488999856.5569019;1514;-1;2;0
193;1488999856.5569019;1514;-1;2;0
195;1488999856.5569019;1514;-1;2;0
196;1488999856.5569060;1514;-1;2;0
198;1488999856.5572140;609;1;1;0
199;1488999856.5587130;818;-1;1;0
200;1488999856.5599689;1514;-1;2;0
201;1488999856.5599821;66;1;0;1
202;1488999856.5599720;1514;-1;2;0
203;1488999856.5810399;1514;-1;2;0
205;1488999856.5810480;1514;-1;2;0
206;1488999856.5810480;1514;-1;2;0
208;1488999856.5836420;1514;-1;2;0
209;1488999856.5836611;1514;-1;2;0
211;1488999856.5836611;1514;-1;2;0
212;1488999856.5926471;1514;-1;2;0
214;1488999856.5926571;1514;-1;2;0
215;1488999856.5926580;1514;-1;2;0
217;1488999856.5955980;818;-1;1;0
218;1488999856.5956140;609;1;1;0
219;1488999856.6044960;1514;-1;2;0
220;1488999856.6044991;1514;-1;2;0
221;1488999856.6045179;66;1;0;1
222;1488999856.6102149;1514;-1;2;0
223;1488999856.6102149;1514;-1;2;0
225;1488999856.6102190;1514;-1;2;0
226;1488999856.6169820;1514;-1;2;0
228;1488999856.6169920;1514;-1;2;0
229;1488999856.6169920;1514;-1;2;0
231;1488999856.6169920;1514;-1;2;0
232;1488999856.6169920;1514;-1;2;0
234;1488999856.6169920;1514;-1;2;0
235;1488999856.6313069;818;-1;1;0
237;1488999856.6343689;1514;-1;2;0
238;1488999856.6344049;1514;-1;2;0
240;1488999856.6355031;1514;-1;2;0
241;1488999856.6355541;1514;-1;2;0
243;1488999856.6355541;1514;-1;2;0
244;1488999856.6357510;609;1;1;0
245;1488999856.6400840;1514;-1;2;0
246;1488999856.6400869;1514;-1;2;0
247;1488999856.6401200;66;1;0;1
248;1488999856.6401269;1514;-1;2;0
249;1488999856.6519580;1514;-1;2;0
251;1488999856.6519639;1514;-1;2;0
252;1488999856.6519649;1514;-1;2;0
254;1488999856.6597281;1514;-1;2;0
255;1488999856.6597600;1514;-1;2;0
257;1488999856.6597600;1514;-1;2;0
258;1488999856.6627181;1514;-1;2;0
260;1488999856.6627209;1514;-1;2;0
261;1488999856.6669040;1375;-1;2;0
263;1488999856.6791241;1514;-1;2;0
264;1488999856.6791401;1152;1;2;0
265;1488999856.6796081;1514;-1;2;0
266;1488999856.6873770;1514;-1;2;0
267;1488999856.6873910;66;1;0;1
268;1488999856.6874030;1514;-1;2;0
269;1488999856.6874030;1514;-1;2;0
271;1488999856.6889479;1514;-1;2;0
272;1488999856.6925910;1514;-1;2;0
274;1488999856.6925950;1514;-1;2;0
275;1488999856.6961110;1514;-1;2;0
277;1488999856.6966410;1514;-1;2;0
278;1488999856.6966410;1514;-1;2;0
280;1488999856.7022691;818;-1;1;0
281;1488999856.7166879;1514;-1;2;0
283;1488999856.7167339;1514;-1;2;0
284;1488999856.7202139;1514;-1;2;0
286;1488999856.7202489;1514;-1;2;0
287;1488999856.7202489;1514;-1;2;0
289;1488999856.7203071;1514;-1;2;0
290;1488999856.7223761;1514;-1;2;0
292;1488999856.7224431;1514;-1;2;0
293;1488999856.7254241;1514;-1;2;0
295;1488999856.7254269;1514;-1;2;0
296;1488999856.7254951;1514;-1;2;0
298;1488999856.7256610;609;1;1;0
299;1488999856.7375350;1514;-1;2;0
300;1488999856.7375431;1514;-1;2;0
301;1488999856.7375610;66;1;0;1
302;1488999856.7375431;1514;-1;2;0
303;1488999856.7455649;1514;-1;2;0
305;1488999856.7455730;1514;-1;2;0
306;1488999856.7455730;1514;-1;2;0
308;1488999856.7487249;1514;-1;2;0
309;1488999856.7487309;1514;-1;2;0
311;1488999856.7487321;1514;-1;2;0
312;1488999856.7518389;1514;-1;2;0
314;1488999856.7519391;1514;-1;2;0
315;1488999856.7519400;1514;-1;2;0
317;1488999856.7519441;151;-1;0;0
318;1488999856.7653050;1514;-1;2;0
319;1488999856.7653210;609;1;1;0
320;1488999856.7653050;1514;-1;2;0
321;1488999856.7653050;1514;-1;2;0
322;1488999856.7653339;66;1;0;1
323;1488999856.7718740;1514;-1;2;0
324;1488999856.7718771;1514;-1;2;0
326;1488999856.7742989;1514;-1;2;0
327;1488999856.7743001;1514;-1;2;0
329;1488999856.7743061;1514;-1;2;0
330;1488999856.7743061;1514;-1;2;0
332;1488999856.7747180;1514;-1;2;0
333;1488999856.7757699;1514;-1;2;0
335;1488999856.7762749;1514;-1;2;0
336;1488999856.7840180;1514;-1;2;0
338;1488999856.7840190;1514;-1;2;0
339;1488999856.7840190;1514;-1;2;0
341;1488999856.7887590;1514;-1;2;0
342;1488999856.7887890;1514;-1;2;0
344;1488999856.7964640;1514;-1;2;0
345;1488999856.7964640;1514;-1;2;0
347;1488999856.7965219;1514;-1;2;0
348;1488999856.7965679;1514;-1;2;0
350;1488999856.7979889;1514;-1;2;0
351;1488999856.7980261;1514;-1;2;0
353;1488999856.8011470;1514;-1;2;0
354;1488999856.8011611;1152;1;2;0
355;1488999856.8011940;1514;-1;2;0
356;1488999856.8011940;1514;-1;2;0
357;1488999856.8012040;66;1;0;1
358;1488999856.8011949;1514;-1;2;0
359;1488999856.8011949;1514;-1;2;0
361;1488999856.8011949;1514;-1;2;0
362;1488999856.8011949;230;-1;0;0
364;1488999856.8099561;1514;-1;2;0
365;1488999856.8099639;1514;-1;2;0
367;1488999856.8099639;1514;-1;2;0
368;1488999856.8149519;1514;-1;2;0
370;1488999856.8213539;1514;-1;2;0
371;1488999856.8213789;1514;-1;2;0
373;1488999856.8213789;1514;-1;2;0
374;1488999856.8213799;1514;-1;2;0
376;1488999856.8213799;1514;-1;2;0
377;1488999856.8214240;1514;-1;2;0
379;1488999856.8248291;1514;-1;2;0
380;1488999856.8248639;1514;-1;2;0
382;1488999856.8248651;1514;-1;2;0
383;1488999856.8283739;1514;-1;2;0
385;1488999856.8283999;1514;-1;2;0
386;1488999856.8283999;1514;-1;2;0
388;1488999856.8283999;1514;-1;2;0
389;1488999856.8336310;1514;-1;2;0
391;1488999856.8366971;1049;-1;1;0
392;1488999856.8367109;1152;1;2;0
393;1488999856.8403020;1514;-1;2;0
394;1488999856.8403299;1514;-1;2;0
395;1488999856.8403380;66;1;0;1
396;1488999856.8467159;1514;-1;2;0
397;1488999856.8467460;1514;-1;2;0
399;1488999856.8467460;1514;-1;2;0
400;1488999856.8467469;1514;-1;2;0
402;1488999856.8467469;1514;-1;2;0
403;1488999856.8467469;1514;-1;2;0
405;1488999856.8467939;1514;-1;2;0
406;1488999856.8506861;1514;-1;2;0
408;1488999856.8512800;1514;-1;2;0
409;1488999856.8517270;1514;-1;2;0
411;1488999856.8518410;1514;-1;2;0
412;1488999856.8518889;1514;-1;2;0
414;1488999856.8568020;1514;-1;2;0
415;1488999856.8573010;1514;-1;2;0
417;1488999856.8573689;1514;-1;2;0
418;1488999856.8573699;1514;-1;2;0
420;1488999856.8597119;1514;-1;2;0
421;1488999856.8597479;1514;-1;2;0
423;1488999856.8708839;1514;-1;2;0
424;1488999856.8708940;1514;-1;2;0
426;1488999856.8708949;1514;-1;2;0
427;1488999856.8712859;1514;-1;2;0
429;1488999856.8713560;1514;-1;2;0
430;1488999856.8728001;1367;-1;2;0
431;1488999856.8728161;1123;1;2;0
432;1488999856.8761389;1514;-1;2;0
433;1488999856.8761420;1514;-1;2;0
434;1488999856.8761749;66;1;0;1
435;1488999856.8774979;1514;-1;2;0
436;1488999856.8775251;1514;-1;2;0
438;1488999856.8775859;1514;-1;2;0
439;1488999856.8795481;1514;-1;2;0
441;1488999856.8795991;1514;-1;2;0
442;1488999856.8836241;1514;-1;2;0
444;1488999856.8837121;1514;-1;2;0
445;1488999856.8897209;1514;-1;2;0
447;1488999856.8897290;1514;-1;2;0
448;1488999856.8897290;1514;-1;2;0
450;1488999856.8912740;1514;-1;2;0
451;1488999856.8918321;1514;-1;2;0
453;1488999856.8919020;1514;-1;2;0
454;1488999856.8928180;1514;1;2;0
455;1488999856.8970530;1514;-1;2;0
456;1488999856.8975930;1514;-1;2;0
457;1488999856.8976059;66;1;0;1
458;1488999856.8975959;1514;-1;2;0
459;1488999856.9011710;1514;-1;2;0
461;1488999856.9052839;1514;-1;2;0
462;1488999856.9052870;1514;-1;2;0
464;1488999856.9106791;1389;-1;2;0
465;1488999856.9106979;247;1;0;0
466;1488999856.9372671;1514;-1;2;0
467;1488999856.9377639;1514;-1;2;0
468;1488999856.9377739;66;1;0;1
469;1488999856.9377911;1514;-1;2;0
470;1488999856.9463990;949;-1;1;0
471;1488999856.9464180;1123;1;2;0
472;1488999856.9826281;1123;-1;2;0
473;1488999857.0195880;66;1;0;1
474;1488999857.0566559;609;-1;1;0
476;1488999857.0704401;1514;-1;2;0
477;1488999857.0704441;1514;-1;2;0
479;1488999857.0709209;1514;-1;2;0
480;1488999857.0925870;435;-1;0;0
482;1488999857.0966029;1514;-1;2;0
483;1488999857.1041861;609;1;1;0
484;1488999857.1205349;1514;-1;2;0
485;1488999857.1205389;1514;-1;2;0
486;1488999857.1205771;66;1;0;1
487;1488999857.1286020;406;-1;0;0
488;1488999857.1513169;1514;1;2;0
489;1488999857.1513910;1514;1;2;0
490;1488999857.1832221;66;-1;0;1
491;1488999857.1832421;341;1;0;0
493;1488999857.2091520;609;-1;1;0
494;1488999857.2475860;66;1;0;1
495;1488999857.2629189;66;-1;0;1
496;1488999857.2953999;1123;-1;2;0
498;1488999857.2971809;609;1;1;0
499;1488999857.3239789;1514;-1;2;0
500;1488999857.3239839;1514;-1;2;0
501;1488999857.3240170;66;1;0;1
502;1488999857.3244050;1514;-1;2;0
503;1488999857.3244469;1514;-1;2;0
505;1488999857.3244469;1514;-1;2;0
506;1488999857.3302021;1514;-1;2;0
508;1488999857.3302121;1514;-1;2;0
509;1488999857.3302121;1514;-1;2;0
511;1488999857.3306029;1021;-1;1;0
512;1488999857.3322470;1514;-1;2;0
514;1488999857.3322480;1514;-1;2;0
515;1488999857.3327739;1514;-1;2;0
517;1488999857.3327799;1514;-1;2;0
518;1488999857.3327799;1514;-1;2;0
520;1488999857.3327830;66;-1;0;1
521;1488999857.3332901;1514;-1;2;0
522;1488999857.3332920;1514;-1;2;0
524;1488999857.3480380;1514;-1;2;0
525;1488999857.3482189;609;1;1;0
526;1488999857.3484731;1514;-1;2;0
527;1488999857.3484759;1514;-1;2;0
528;1488999857.3484900;66;1;0;1
529;1488999857.3522749;1514;-1;2;0
530;1488999857.3522840;1514;-1;2;0
532;1488999857.3522840;1514;-1;2;0
533;1488999857.3527451;1514;-1;2;0
535;1488999857.3527510;1514;-1;2;0
536;1488999857.3527510;1514;-1;2;0
538;1488999857.3590851;1514;-1;2;0
539;1488999857.3591020;1514;-1;2;0
541;1488999857.3596699;1514;-1;2;0
542;1488999857.3596699;1514;-1;2;0
544;1488999857.3596711;1514;-1;2;0
545;1488999857.3597009;1514;-1;2;0
547;1488999857.3597009;1514;-1;2;0
548;1488999857.3677440;1092;-1;2;0
550;1488999857.4034450;609;-1;1;0
551;1488999857.4034641;609;1;1;0
552;1488999857.4282560;1514;-1;2;0
553;1488999857.4397190;189;-1;0;0
554;1488999857.4397531;609;1;1;0
555;1488999857.4562719;1514;-1;2;0
556;1488999857.4752300;1217;-1;2;0
557;1488999857.4752560;66;1;0;1
558;1488999857.4812920;1514;-1;2;0
559;1488999857.5072589;1514;-1;2;0
561;1488999857.5114269;1340;-1;2;0
563;1488999857.5845990;609;-1;1;0
565;1488999857.5851209;609;1;1;0
566;1488999857.6022520;1514;1;2;0
567;1488999857.6130509;1514;1;2;0
568;1488999857.6164899;1514;1;2;0
569;1488999857.6371970;66;-1;0;1
570;1488999857.6372130;609;1;1;0
573;1488999857.7111809;1152;1;2;0
574;1488999857.7284360;609;-1;1;0
575;1488999857.7467301;66;-1;0;1
576;1488999857.7675760;66;1;0;1
577;1488999857.7714951;1514;-1;2;0
578;1488999857.7714980;1514;-1;2;0
580;1488999857.7917500;609;1;1;0
581;1488999857.7982850;1514;-1;2;0
582;1488999857.7983150;1514;-1;2;0
583;1488999857.7983241;66;1;0;1
584;1488999857.7983150;1514;-1;2;0
585;1488999857.8028040;623;-1;1;0
587;1488999857.8060060;1514;1;2;0
588;1488999857.8160930;1514;1;2;0
589;1488999857.8345470;1514;1;2;0
590;1488999857.8425159;66;-1;0;1
591;1488999857.8425341;435;1;0;0
592;1488999857.8448341;1514;1;2;0
593;1488999857.8470399;1514;-1;2;0
594;1488999857.8477020;1514;-1;2;0
595;1488999857.8477449;66;1;0;1
596;1488999857.8477049;797;-1;1;0
597;1488999857.8477659;1514;-1;2;0
599;1488999857.8477659;1514;-1;2;0
600;1488999857.8477690;1514;-1;2;0
602;1488999857.8478429;1514;-1;2;0
603;1488999857.8478429;1514;-1;2;0
605;1488999857.8511119;1514;-1;2;0
606;1488999857.8516009;1514;-1;2;0
608;1488999857.8618920;1514;1;2;0
609;1488999857.8720560;66;-1;0;1
610;1488999857.8747690;1514;-1;2;0
611;1488999857.8747790;1514;-1;2;0
612;1488999857.8748009;66;1;0;1
613;1488999857.8747790;1514;-1;2;0
614;1488999857.8752289;1514;-1;2;0
616;1488999857.8752320;1514;-1;2;0
617;1488999857.8762691;1514;-1;2;0
619;1488999857.8762720;1514;-1;2;0
620;1488999857.8806760;66;-1;0;1
621;1488999857.8806939;1456;1;2;0
622;1488999857.8834660;101;-1;0;0
623;1488999857.9047000;1514;-1;2;0
624;1488999857.9047191;66;1;0;1
625;1488999857.9047041;1514;-1;2;0
626;1488999857.9301381;1514;-1;2;0
627;1488999857.9301560;1152;1;2;0
628;1488999857.9301441;1514;-1;2;0
629;1488999857.9301450;1514;-1;2;0
630;1488999857.9301670;66;1;0;1
631;1488999857.9311950;1514;-1;2;0
632;1488999857.9312241;1514;-1;2;0
634;1488999857.9312241;1514;-1;2;0
635;1488999857.9347579;1514;-1;2;0
637;1488999857.9347811;1514;-1;2;0
638;1488999857.9347811;1514;-1;2;0
640;1488999857.9399741;818;-1;1;0
641;1488999857.9432840;1514;1;2;0
642;1488999857.9582939;1514;-1;2;0
643;1488999857.9583099;1514;-1;2;0
644;1488999857.9583180;66;1;0;1
645;1488999857.9670410;1514;-1;2;0
646;1488999857.9670579;247;1;0;0
647;1488999857.9670739;1514;-1;2;0
648;1488999857.9670751;1514;-1;2;0
649;1488999857.9670961;66;1;0;1
650;1488999857.9670751;1514;-1;2;0
651;1488999857.9674139;1514;-1;2;0
653;1488999857.9674799;1514;-1;2;0
654;1488999857.9797549;449;-1;0;0
656;1488999857.9844670;1514;-1;2;0
657;1488999857.9844699;1514;-1;2;0
659;1488999857.9945970;1514;-1;2;0
660;1488999857.9946210;1514;-1;2;0
662;1488999857.9962111;1514;-1;2;0
663;1488999857.9962361;1514;-1;2;0
665;1488999857.9962361;1514;-1;2;0
666;1488999858.0086820;1514;-1;2;0
667;1488999858.0087039;609;1;1;0
668;1488999858.0090489;1514;-1;2;0
669;1488999858.0148940;1057;-1;1;0
670;1488999858.0149109;66;1;0;1
671;1488999858.0153201;1514;-1;2;0
672;1488999858.0153830;1514;-1;2;0
674;1488999858.0215099;1514;-1;2;0
675;1488999858.0215240;1514;-1;2;0
677;1488999858.0215240;1514;-1;2;0
678;1488999858.0215631;1514;-1;2;0
680;1488999858.0216210;1514;-1;2;0
681;1488999858.0216210;1514;-1;2;0
683;1488999858.0335670;1514;-1;2;0
684;1488999858.0335701;1514;-1;2;0
686;1488999858.0489719;1514;-1;2;0
687;1488999858.0489991;1514;-1;2;0
689;1488999858.0489991;1514;-1;2;0
690;1488999858.0489991;1514;-1;2;0
691;1488999858.0489991;1514;-1;2;0
693;1488999858.0491810;1123;1;2;0
694;1488999858.0492699;1514;-1;2;0
695;1488999858.0507331;289;-1;0;0
696;1488999858.0507450;66;1;0;1
697;1488999858.0580540;1514;-1;2;0
698;1488999858.0580750;1514;-1;2;0
700;1488999858.0697131;1514;-1;2;0
701;1488999858.0697219;1514;-1;2;0
703;1488999858.0697219;1514;-1;2;0
704;1488999858.0713019;1514;-1;2;0
706;1488999858.0774961;1514;-1;2;0
707;1488999858.0775230;1514;-1;2;0
709;1488999858.0775230;1514;-1;2;0
710;1488999858.0775230;1514;-1;2;0
712;1488999858.0775239;1514;-1;2;0
713;1488999858.0861290;818;-1;1;0
714;1488999858.0861440;1152;1;2;0
715;1488999858.0923150;1514;-1;2;0
716;1488999858.0923369;1514;-1;2;0
717;1488999858.0923440;66;1;0;1
718;1488999858.0991831;1514;-1;2;0
719;1488999858.0997040;1514;-1;2;0
721;1488999858.1039281;1514;-1;2;0
722;1488999858.1039481;1514;-1;2;0
724;1488999858.1042690;1514;-1;2;0
725;1488999858.1049709;1514;-1;2;0
727;1488999858.1049719;1514;-1;2;0
728;1488999858.1049759;1514;-1;2;0
730;1488999858.1205630;1514;-1;2;0
731;1488999858.1205640;1514;-1;2;0
733;1488999858.1205640;1514;-1;2;0
734;1488999858.1217711;1035;-1;1;0
735;1488999858.1217899;609;1;1;0
736;1488999858.1240070;1514;-1;2;0
737;1488999858.1240101;1514;-1;2;0
738;1488999858.1240311;66;1;0;1
739;1488999858.1270261;1514;-1;2;0
740;1488999858.1270289;1514;-1;2;0
742;1488999858.1271410;1514;-1;2;0
743;1488999858.1311200;1514;-1;2;0
745;1488999858.1312139;1514;-1;2;0
746;1488999858.1312139;1514;-1;2;0
748;1488999858.1317279;1514;-1;2;0
749;1488999858.1317351;1514;-1;2;0
751;1488999858.1317351;1514;-1;2;0
752;1488999858.1447909;1514;-1;2;0
754;1488999858.1448240;1514;-1;2;0
755;1488999858.1448240;1514;-1;2;0
757;1488999858.1532381;1514;-1;2;0
758;1488999858.1532409;1514;-1;2;0
760;1488999858.1578810;1375;-1;2;0
761;1488999858.1579101;1152;1;2;0
762;1488999858.1578901;1514;-1;2;0
763;1488999858.1578901;1514;-1;2;0
764;1488999858.1579211;66;1;0;1
765;1488999858.1583200;1514;-1;2;0
766;1488999858.1583600;1514;-1;2;0
768;1488999858.1583600;1514;-1;2;0
769;1488999858.1588190;1514;-1;2;0
771;1488999858.1752889;1514;-1;2;0
772;1488999858.1752930;1514;-1;2;0
774;1488999858.1784611;1514;-1;2;0
775;1488999858.1784611;1514;-1;2;0
777;1488999858.1784661;1514;-1;2;0
778;1488999858.1789670;1514;-1;2;0
780;1488999858.1789739;1514;-1;2;0
781;1488999858.1789751;1514;-1;2;0
783;1488999858.1793950;1514;-1;2;0
784;1488999858.1794410;1514;-1;2;0
786;1488999858.1794410;1514;-1;2;0
787;1488999858.1850741;1514;-1;2;0
789;1488999858.1850820;1514;-1;2;0
790;1488999858.1850820;1514;-1;2;0
792;1488999858.1938751;296;-1;0;0
793;1488999858.1938951;609;1;1;0
794;1488999858.1985259;1514;-1;2;0
795;1488999858.1985500;1514;-1;2;0
796;1488999858.1985569;66;1;0;1
797;1488999858.2058001;1514;-1;2;0
798;1488999858.2058229;1514;-1;2;0
800;1488999858.2058229;1514;-1;2;0
801;1488999858.2069631;1514;-1;2;0
803;1488999858.2070351;1514;-1;2;0
804;1488999858.2070870;1514;-1;2;0
806;1488999858.2070870;1514;-1;2;0
807;1488999858.2070880;1514;-1;2;0
809;1488999858.2070880;1514;-1;2;0
810;1488999858.2088671;1514;-1;2;0
812;1488999858.2093151;1514;-1;2;0
813;1488999858.2140231;1514;-1;2;0
815;1488999858.2140701;1514;-1;2;0
816;1488999858.2140710;1514;-1;2;0
818;1488999858.2181160;1514;1;2;0
819;1488999858.2241271;1514;-1;2;0
820;1488999858.2241299;1514;-1;2;0
821;1488999858.2241530;66;1;0;1
822;1488999858.2312989;593;-1;1;0
823;1488999858.2313180;790;1;1;0
824;1488999858.2615049;1514;-1;2;0
825;1488999858.2615340;1514;-1;2;0
826;1488999858.2615421;66;1;0;1
827;1488999858.2616210;1514;-1;2;0
828;1488999858.2616220;1514;-1;2;0
830;1488999858.2616220;1514;-1;2;0
831;1488999858.2620771;1514;-1;2;0
833;1488999858.2621109;1514;-1;2;0
834;1488999858.2622299;1514;-1;2;0
836;1488999858.2622299;1514;-1;2;0
837;1488999858.2622299;1514;-1;2;0
839;1488999858.2622311;1514;-1;2;0
840;1488999858.2625611;1514;-1;2;0
842;1488999858.2625940;1514;-1;2;0
843;1488999858.2629831;1514;-1;2;0
845;1488999858.2631700;1514;1;2;0
846;1488999858.2641089;1514;-1;2;0
847;1488999858.2641330;1514;-1;2;0
848;1488999858.2641420;66;1;0;1
849;1488999858.2641330;1514;-1;2;0
850;1488999858.2641339;1514;-1;2;0
852;1488999858.2644999;1514;-1;2;0
853;1488999858.2645481;1514;-1;2;0
855;1488999858.2670281;267;-1;0;0
856;1488999858.2670469;790;1;1;0
857;1488999858.2874019;1514;-1;2;0
858;1488999858.2874050;1514;-1;2;0
859;1488999858.2874351;66;1;0;1
860;1488999858.2878749;1514;-1;2;0
861;1488999858.2878821;1514;-1;2;0
863;1488999858.2878830;1514;-1;2;0
864;1488999858.2992489;1514;-1;2;0
866;1488999858.2997241;1514;-1;2;0
867;1488999858.2997911;1514;-1;2;0
869;1488999858.2997911;1514;-1;2;0
870;1488999858.2998371;1514;-1;2;0
872;1488999858.2998371;1514;-1;2;0
873;1488999858.3050661;1361;-1;2;0
874;1488999858.3051000;1152;1;2;0
875;1488999858.3126249;1514;-1;2;0
876;1488999858.3126731;1514;-1;2;0
877;1488999858.3126800;66;1;0;1
878;1488999858.3243029;1514;-1;2;0
879;1488999858.3243520;1514;-1;2;0
881;1488999858.3243520;1514;-1;2;0
882;1488999858.3248260;1514;-1;2;0
884;1488999858.3248789;1514;-1;2;0
